id,name,slug,type
c4aef5b0-c2c2-11e1-939f-005056a8759d,Greg Abbott,Greg_Abbott,Public Figure
e7612542-0599-11ea-a7ee-31603736b29c,Gretchen Whitmer,Gretchen_Whitmer,Public Figure
bb79a3a0-a904-11e1-9412-005056900141,Guitar,Guitar,Topic
9986b760-4b5e-11e5-9438-005056a8759d,Gulf War,Gulf_War,Historical Event
49f7a8d0-be3f-11e1-9cb6-00505690014d,Gun control,Gun_control,Issue
28e77ef0-f2c3-11e1-af10-005056a8759d,Gun Law,Gun_Law,Topic
f4fe7590-963b-11e2-9a4b-005056a8759d,Hakeem Jeffries,Hakeem_Jeffries,Public Figure
81497a70-6ef7-11e2-8fef-005056a8759d,Hate speech,Hate_speech,Topic
bb750fec-a904-11e1-9412-005056900141,Health and Pharmaceutical Products,Health_and_Pharmaceutical_Products,Topic
bb753707-a904-11e1-9412-005056900141,Health Insurance,Health_Insurance,Topic
5a375ba0-be3f-11e1-9cb6-00505690014d,Healthcare,Healthcare,Issue
bda2ec40-a904-11e1-9412-005056900141,Heart Disease,Heart_Disease,Topic
bb7f7027-a904-11e1-9412-005056900141,Henry Kissinger,Henry_Kissinger,Public Figure
be01fc38-a904-11e1-9412-005056900141,Herbs and Herbalism,Herbs_and_Herbalism,Topic
563f7220-06fc-11e2-8e7c-005056a8759d,High School,High_School,Topic
a01e1ef0-06fc-11e2-8e7c-005056a8759d,High school education,High_school_education,Topic
bb73fe8d-a904-11e1-9412-005056900141,Higher Education,Higher_Education,Issue
bb7f9733-a904-11e1-9412-005056900141,Hillary Clinton,Hillary_Clinton,Public Figure
923c68e0-b153-11e1-91b8-00505690014d,History of the Civil War and Reconstruction Era,History_of_the_Civil_War_and_Reconstruction_Era,Topic
bb6d95e6-a904-11e1-9412-005056900141,History of the Middle Ages,History_of_the_Middle_Ages,Topic
